conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,,,,,,,
1.75755E+18,Tue Feb 13 23:33:21 +0000 2024,2601,https://t.co/DZEz4VDCN8,1.75755E+18,https://pbs.twimg.com/media/GGQRFjuaEAA6uYQ.jpg,,zxx,,7,26,210,https://x.com/prabowogibran2/status/1757548545941590461,1.72394E+18,prabowogibran2,,,,,,,
1.75755E+18,Tue Feb 13 23:51:54 +0000 2024,0,#02JariUngu tanda kemenangan prabowo-Gibran https://t.co/4S2mmlTvIO,1.75755E+18,https://pbs.twimg.com/media/GGQVUWyakAAWadG.jpg,,in,,0,0,0,https://x.com/bungasyarlla/status/1757553212050284732,2757218751,bungasyarlla,,,,,,,
1.75755E+18,Tue Feb 13 23:58:14 +0000 2024,148,Mengawal suara rakyat dan pidato @prabowo - @gibran_tweet Rabu 14 Februari ðŸ024 Open gate 15.00 Di Istora Senayan https://t.co/Ngt3yLhBji,1.75755E+18,https://pbs.twimg.com/media/GGQWx8zaYAAjYb6.jpg,,in,,1,7,20,https://x.com/prabowogibran2/status/1757554805592187126,1.72394E+18,prabowogibran2,,,,,,,
1.75755E+18,Tue Feb 13 23:47:42 +0000 2024,0,wishing every prabowo supporter to not being able to vote https://t.co/X2iD8zipxx,1.75755E+18,https://pbs.twimg.com/media/GGQUXIxa4AAblar.jpg,,en,"n city, caratland, exo planet",0,0,0,https://x.com/jaemjuntys/status/1757552158210396314,9.77534E+17,jaemjuntys,,,,,,,
1.75755E+18,Tue Feb 13 23:46:20 +0000 2024,0,selamat pagi duniaku semoga hari ini negaraku ga dapet kabar buruk (dipimpin prabowo-gibran) https://t.co/gQ7106IwqY,1.75755E+18,https://pbs.twimg.com/media/GGQUDnPasAAnWKe.jpg,,in,area maraaarrgghh,0,0,0,https://x.com/miskomunis/status/1757551811907793064,1.68222E+18,miskomunis,,,,,,,
1.75755E+18,Tue Feb 13 23:51:10 +0000 2024,1,PRABOWO sudah BERBAKTI n BERJUANG buat BANGSA n NEGARA pada zamannya ANIES n GANJAR sudah JADI/BISA apa?O baru bisa MERAMBAT n MERANGKAK ya?.......sedangkan ANIES sama GANJAR paling baru jadi EMBRIO ya kan?! https://t.co/lzsubSdfeI,1.75755E+18,https://pbs.twimg.com/media/GGQR9R3aoAABnlZ.jpg,,in,,0,0,0,https://x.com/ArdoyantoE/status/1757553029069647909,1.4345E+18,ArdoyantoE,,,,,,,
1.75756E+18,Tue Feb 13 23:59:32 +0000 2024,0,Yok kita lakukan dengan benar #02JariUngu @prabowo https://t.co/0Qsn0K84V7,1.75756E+18,https://pbs.twimg.com/media/GGQXEOlbQAAJB8i.jpg,,in,Indonesia ,0,0,0,https://x.com/berliaputeri/status/1757555133599387822,1.69822E+18,berliaputeri,,,,,,,
1.75755E+18,Tue Feb 13 23:58:48 +0000 2024,0,yuk bisa yuk hari ini coblos @prabowo dan @gibran_tweet untuk menyukseskan mereka dalam kemenangannya satu putaran! salam #02JariUngu everyone https://t.co/HUAauzpZ4t,1.75755E+18,https://pbs.twimg.com/media/GGQW6SfbwAAUe5v.jpg,,in,Indonesia,0,0,0,https://x.com/holahoppi/status/1757554949565948394,1.74108E+18,holahoppi,,,,,,,
1.75756E+18,Tue Feb 13 23:59:18 +0000 2024,0,mari kita bersama-sama menuju tps dengan mencoblos @prabowo @gibran_tweet yaawww kita kawal juga kemenangan mereka dalam satu kali putaran! salam #02JariUngu https://t.co/nM2PUiSZSR,1.75756E+18,https://pbs.twimg.com/media/GGQXBl_bsAAmx0x.jpg,,in,Indonesia,0,0,0,https://x.com/bzarbzir/status/1757555073864094190,1.74129E+18,bzarbzir,,,,,,,
1.75756E+18,Tue Feb 13 23:59:06 +0000 2024,0,Iya ayo kita ramaikan #02JariUngu @prabowo https://t.co/1KMXCobSB5,1.75756E+18,https://pbs.twimg.com/media/GGQW860bIAA6Ya4.jpg,,in,"Denpasar Selatan, Indonesia",0,0,0,https://x.com/denadaainiya/status/1757555025050734902,1.69822E+18,denadaainiya,,,,,,,
1.75755E+18,Tue Feb 13 23:52:23 +0000 2024,0,#02JariUngu siap jadi pemenang untuk prabowo gibran https://t.co/op6SsEvgfu,1.75755E+18,https://pbs.twimg.com/ext_tw_video_thumb/1757450999588106240/pu/img/zTYqLp0Zjn2E_i2i.jpg,,in,,0,5,0,https://x.com/bungasyarlla/status/1757553336990224606,2757218751,bungasyarlla,,,,,,,
